G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,? Odo hm,? Eng min
TX,14 secs,2020-03-10 10:17.09am,2020-03-10 10:17.23am,63,I-77 Bastian VA 24314,+,+,-,-,-,-,-,3,8,14,0.8,-74,0,0,3112,Serial,37.230898,-81.0962444,Moving,37,2
TX,15 secs,2020-03-10 10:15.09am,2020-03-10 10:15.24am,74,I-77 Rocky Gap VA 24366,+,+,-,-,-,-,-,3,8,14,0.8,-51,0,0,3111,Serial,37.2555756,-81.1189721,Moving,36,2
TX,16 secs,2020-03-10 10:13.08am,2020-03-10 10:13.24am,62,Veterans Memorial Hwy [I-77] Bluefield WV 24701,+,+,-,-,-,-,-,3,8,15,0.6,-41,0,0,3110,Serial,37.2872753,-81.1260182,Moving,35,2
TX,16 secs,2020-03-10 10:11.08am,2020-03-10 10:11.24am,67,Veterans Memorial Hwy [I-77] Bluefield WV 24701,+,+,-,-,-,-,-,3,8,15,0.6,-69,0,0,3109,Serial,37.3028134,-81.0932537,Moving,35,2
TX,16 secs,2020-03-10 10:09.08am,2020-03-10 10:09.24am,66,Veterans Memorial Hwy [I-77] Princeton WV 24739,+,+,-,-,-,-,-,3,8,14,0.8,-78,0,0,3108,Serial,37.314949,-81.0593989,Moving,38,2
TX,1 sec,2020-03-10 10:07.25am,2020-03-10 10:07.24am,69,I-77 Princeton WV 24739,+,+,-,-,-,-,-,3,8,14,0.8,-63,0,0,3107,Serial,37.3467493,-81.0580256,Moving,36,2
TX,16 secs,2020-03-10 10:05.08am,2020-03-10 10:05.24am,69,West Virginia Tpke [I-77] Princeton WV 24740,+,+,-,-,-,-,-,3,8,15,0.6,-55,0,0,3106,Serial,37.3754784,-81.0432278,Moving,38,2
TX,16 secs,2020-03-10 10:03.08am,2020-03-10 10:03.24am,69,West Virginia Tpke [I-77] Princeton WV 24740,+,+,-,-,-,-,-,3,8,14,0.8,-46,0,0,3105,Serial,37.4032956,-81.0634664,Moving,37,2
TX,11 secs,2020-03-10 10:01.13am,2020-03-10 10:01.24am,68,West Virginia Tpke [I-77] Spanishburg WV 25922,+,+,-,-,-,-,-,3,8,16,0.6,-68,0,0,3104,Serial,37.4359341,-81.0655384,Moving,36,2
TX,16 secs,2020-03-10 9:59.08am,2020-03-10 9:59.24am,68,West Virginia Tpke [I-77] Spanishburg WV 25922,+,+,-,-,-,-,-,3,8,16,0.6,-61,0,0,3103,Serial,37.4673253,-81.0670941,Moving,36,2
TX,11 secs,2020-03-10 9:57.13am,2020-03-10 9:57.24am,66,West Virginia Tpke [I-77] Spanishburg WV 25922,+,+,-,-,-,-,-,3,8,15,0.6,-56,0,0,3102,Serial,37.4920928,-81.0907566,Moving,33,2
