G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,"Lat, Lon",Triggered By,Δ Odo hm,Δ Eng min
LA,7 secs,2020-02-14 12:34.12pm,2020-02-14 12:34.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-79,0,0,2026,Serial,"33.6102723,-84.3789224",,0,2
LA,6 secs,2020-02-14 12:32.11pm,2020-02-14 12:32.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,14,0.8,-79,0,0,2025,Serial,"33.6102723,-84.3789345",,0,2
LA,7 secs,2020-02-14 12:30.12pm,2020-02-14 12:30.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,14,0.6,-72,0,0,2024,Serial,"33.6102589,-84.3789278",,0,2
LA,9 secs,2020-02-14 12:28.14pm,2020-02-14 12:28.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-75,0,0,2023,Serial,"33.6102844,-84.3788875",,1,2
LA,6 secs,2020-02-14 12:26.11pm,2020-02-14 12:26.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,14,0.8,-79,0,0,2022,Serial,"33.6102804,-84.3789076",,0,2
LA,6 secs,2020-02-14 12:24.11pm,2020-02-14 12:24.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,14,0.6,-74,0,0,2021,Serial,"33.6103005,-84.3789224",,0,2
LA,6 secs,2020-02-14 12:22.11pm,2020-02-14 12:22.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-74,0,0,2020,Serial,"33.6102696,-84.3789452",,0,2
LA,6 secs,2020-02-14 12:20.11pm,2020-02-14 12:20.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,12,0.8,-72,0,0,2019,Serial,"33.6102522,-84.3789452",,0,2
LA,7 secs,2020-02-14 12:18.11pm,2020-02-14 12:18.04pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,17,0.6,-73,0,0,2018,Serial,"33.610275,-84.3788889",,0,2
LA,40 secs,2020-02-14 12:16.45pm,2020-02-14 12:16.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-79,0,0,2017,Serial,"33.610279,-84.3789211",,1,2
LA,6 secs,2020-02-14 12:14.11pm,2020-02-14 12:14.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-82,0,0,2016,Serial,"33.6102978,-84.3789506",,0,2
LA,5 secs,2020-02-14 12:12.10pm,2020-02-14 12:12.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,13,0.8,-78,0,0,2015,Serial,"33.6103018,-84.3789519",,0,2
LA,7 secs,2020-02-14 12:10.12pm,2020-02-14 12:10.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-77,0,0,2014,Serial,"33.6102965,-84.3789103",,0,2
LA,5 secs,2020-02-14 12:08.10pm,2020-02-14 12:08.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-76,0,0,2013,Serial,"33.6102951,-84.3789117",,0,2
LA,5 secs,2020-02-14 12:06.10pm,2020-02-14 12:06.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-79,0,0,2012,Serial,"33.6103139,-84.3789036",,0,2
LA,"1 min, 10 secs",2020-02-14 12:05.15pm,2020-02-14 12:04.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-76,0,0,2011,Serial,"33.6103085,-84.3788728",,0,2
LA,5 secs,2020-02-14 12:02.10pm,2020-02-14 12:02.05pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,14,0.8,-78,0,0,2010,Serial,"33.6103193,-84.3788473",,1,2
LA,7 secs,2020-02-14 12:00.11pm,2020-02-14 12:00.04pm,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-77,0,0,2009,Serial,"33.6103139,-84.3789063",,0,2
LA,6 secs,2020-02-14 11:58.10am,2020-02-14 11:58.04am,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,15,0.6,-72,0,0,2008,Serial,"33.6102938,-84.3789331",,0,2
LA,7 secs,2020-02-14 11:56.11am,2020-02-14 11:56.04am,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-73,0,0,2007,Serial,"33.6103045,-84.3789506",,0,2
LA,26 secs,2020-02-14 11:54.30am,2020-02-14 11:54.04am,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,16,0.6,-78,0,0,2006,Serial,"33.6102978,-84.3789291",,0,2
LA,7 secs,2020-02-14 11:52.11am,2020-02-14 11:52.04am,0,Jones Rd Forest Park GA 30297,+,+,-,-,-,-,-,3,0,14,0.8,-72,0,0,2005,Serial,"33.6103018,-84.3789264",,0,2
